"TCGA-4Z-AA7R-01";"TCGA-BL-A3JM-01";"TCGA-BT-A0S7-01";"TCGA-BT-A2LA-01";"TCGA-C4-A0EZ-01";"TCGA-DK-AA6W-01";"TCGA-FJ-A871-01";"TCGA-G2-A2EL-01";"TCGA-GD-A3OS-01";"TCGA-GV-A3JZ-01";"TCGA-K4-A3WV-01";"TCGA-XF-A9ST-01";"TCGA-XF-A9T2-01";"TCGA-XF-AAMG-01";"TCGA-XF-AAMH-01";"TCGA-XF-AAN7-01";"TCGA-YC-A9TC-01";"TCGA-ZF-AA4R-01"
"SNAI1";0.00860332821873413;0.139355482860656;0.026814757714968;0.0081415124635309;0;0.000918716970552444;0.462247627116031;0;0.0187357193727505;0;0;0;0;0.0561122319753743;0;0.0985937061945588;0;0.178886030973319
"MNDA";0;0.0452168801205972;0;0;0;0;0;0;0;0;0.395646749527399;0;0;0;0;0;0;0
"VENTX";0;0;0;0.0854704101195;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"IRF8";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.185915870073841
"FLI1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0087233747615495
"TFEC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"FOXP3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"IRF4";0.144577912520223;0;0;0;0;0;0.0524399262613163;0;0.0579676834756271;0;0;0;0;0.186529029460352;0.0990398938816642;0.183437584450106;0;0.366622470917018
"CIITA";0;0;0;0;0;0;0.132142045570641;0;0.0215616674188346;0;0;0;0;0.0234025128385595;0;0;0;0
"TOX";0;0.0107978959087065;0;0;0;0.00906382218654295;0;0.0224579857444005;0;0.00909073734049458;0;0.00115732629456861;0;0;0;0;0.00685010916463208;0
"HES2";0;0.068100758120847;0;0;0;0;0.24275475796764;0.191200446549287;0.14307052484349;0.0109862893474886;0;0;0.000529493169368255;0;0.320733614355334;0;0;0
"SOX15";0.0428533061357178;0;0;0.00999817754817565;0.0460361019460553;0.0185369607372871;0.0879319302045443;0.00839982626835173;0.038720245535169;0.039104268993122;0;0.09226393731118;0.0336956606052594;0.0298529577637744;0;0;0.120201808744026;0
"EDF1";0;0;0;0;0;0;0;0;0.214752240760785;0;0;0;0;0.0615691108258996;0;0.0297692435325867;0;0
"SCAND1";0;0;0;0.00279363160464;0;0;0.0278112203901085;0;0;0;0;0.0481803377249516;0;0;0;0;0;0
"ZNF524";0;0;0;0;0;0;0.0278043921530136;0;0;0;0.00214353209303419;0;0;0;0;0;0;0
"GLI4";0.0103203027187513;0;0;0;0;0.00365289567361893;0;0.00431948072501033;0;0;0.00398350600345094;0;0.00528617331864565;0.0685422534803726;0;0.00033591987626355;0;0.026831351826188
"ZNF688";0.0628514647979477;0;0;0.0491391713870022;0;0;0;0;0;0;0;0;0.0146805577505625;0;0;0.0313370424669754;0;0
"ANKS3";0;0;0;0;0;0.00820051113590261;0.0106903916738832;0;0.023030177572619;0;0.0681311699426453;0;0;0;0;0;0;0
"IRF1";0;0;0;0;0;0;0;0;0.242799431682557;0;0;0;0;0;0.0647220209092303;0;0;0
"SP140";0;0;0;0;0;0;0;0.0142271368067887;0;0;0;0;0;0;0;0;0;0
"STAT1";0.181948854486503;0;0.997310656338956;0.0260778918365424;0;0;0.259860666389745;0;0;0;0;0;0;0.236276255390736;0.574421886534555;0;0.0863929645743237;0
"TNFAIP3";0.0461771280334906;0.0216707800492365;0;0;0;0.045306964047343;0.0684724568899997;0;0;0.0101612171917454;0;0;0;0;0;0.00939336720504076;0;0
"BIN1";0;0;0;0;0;0;0.116885166306321;0;0.230960371306156;0;0;0;0;0.016875998151322;0;0;0;0
