gene ; activator ; inhibitor
TMEM125 ;  ; SNAI2
C1orf210 ; GRHL1 ELF3 KLF5 ZBTB7B NR2F6 SOX13 GRHL3 ZDHHC13 ; HMGA2 PDLIM4
TIE1 ; HIC1 TAL1 SOX17 HEYL NOTCH4 BCL6B HEY2 MEF2C MEOX2 KLF2 ERG TCF21 FOXF1 EBF1 NR4A3 LDB2 FHL5 NAP1L3 LZTS1 TCF4 ZNF366 EBF3 ZNF423 ; 
CDC20 ; FOXM1 PTTG1 TRIP13 MYBL2 MCM5 ENO1 MCM7 HMGB2 RUVBL1 MCM2 ; 
KIF2C ; RAD51 FOXM1 PTTG1 TRIP13 MYBL2 MCM5 XRCC3 ESPL1 CHAF1A MCM7 EZH2 MCM6 SUV39H2 TIMELESS HMGB2 RUVBL1 WDHD1 MCM2 MCM4 BRCA1 DNMT1 E2F7 MCM8 WHSC1 ; 
NASP ; MYBL2 CHAF1A MCM7 EZH2 HMGB2 ; 
IPP ; ATF2 ZNF236 SHPRH GTF2A1 ADNP ZNF397 NCOA2 REST ZNF641 ASH1L ZKSCAN1 APC ; EDF1
RAD54L ; RAD51 FOXM1 PTTG1 MYBL2 E2F1 XRCC3 ESPL1 CHAF1A MCM7 EZH2 TIMELESS HMGB2 WDHD1 MCM2 BRCA1 KNTC1 DNMT1 E2F7 WHSC1 ; 
CYP4B1 ; TOB1 ; 
STIL ; FOXM1 ESPL1 CHAF1A EZH2 MCM6 TIMELESS HMGB2 WDHD1 MCM2 MCM4 BRCA1 KNTC1 DNMT1 E2F7 MCM8 BRIP1 WHSC1 BRCA2 ; 
SPATA6 ; MAML3 ; 
BEND5 ; ZNF253 TBX3 MYEF2 ; FOSL1
ZCCHC11 ; PHF6 BDP1 NR2C2 ZNF292 ZNF236 SHPRH GTF2A1 ADNP REST ; 
PODN ; AEBP1 HIC1 SOX17 CSDC2 CREB3L1 NFATC4 ETV1 MEF2C MEOX2 KLF2 PRDM6 NR2F1 TCF21 CBX7 FOXF1 AFF3 EBF1 LDB2 GLI2 ZFPM2 TBX5 NAP1L3 PKNOX2 PEG3 LMO3 HAND2 NDN MYOCD EBF3 NR3C2 ZNF423 RUNX1T1 ; 
LRRC42 ;  ; TBX2
TTC22 ; KLF5 RREB1 ; 
PPAP2B ; MEF2C EBF1 LDB2 ; 
TACSTD2 ; OVOL1 GRHL1 ELF3 GRHL3 TOB1 ZDHHC13 ; ASB1
MYSM1 ; ZNF81 BTAF1 TAF1L SHPRH GTF2A1 NCOA2 REST ZNF518A ASH1L ZKSCAN1 APC ; 
HOOK1 ; EHF ZNF165 GRHL3 ZDHHC21 ZFP62 ZDHHC13 ZNF397 ZNF518A ; POLR1E LYL1 SPI1 BIN1 PTRF TGFB1I1
CYP2J2 ; POGK CEBPA ; 
INADL ; KLF5 RREB1 ZKSCAN1 ; SPI1
USP1 ; EZH2 MCM6 DEK WDHD1 MCM2 MCM4 DNMT1 E2F7 WHSC1 TFDP1 ; 
DOCK7 ; GTF2A1 REST ; 
LEPROT ; MEF2A ELK3 CLOCK ATF2 JMJD1C BACH1 GTF2A1 ETV3 REST ZNF641 ASH1L APC ; 
PDE4B ; CIITA IRF8 TFEC FLI1 IRF4 MEF2C NR4A3 ; 
SGIP1 ; AEBP1 ZNF469 BCL6B ETV1 PRRX1 ; 
TCTEX1D1 ; VENTX ; 
GNG12 ; ELL2 STAT3 ; 
DEPDC1 ; FOXM1 PTTG1 TRIP13 TIMELESS DEK HMGB2 RUVBL1 WDHD1 MCM2 MCM4 BRCA1 DNMT1 E2F7 WHSC1 ; TCF21
PTGER3 ; CSDC2 PRDM6 PRRX1 TCF21 TSHZ3 LDB2 ZFPM2 TBX5 NAP1L3 PKNOX2 HAND2 RUNX1T1 ; 
NEGR1 ; AEBP1 CSDC2 TGFB1I1 GATA6 NFATC4 ETV1 MITF MEOX2 PRDM6 TCF21 FOXF1 AFF3 TSHZ3 EBF1 GLI2 ZFPM2 TBX4 TBX5 NAP1L3 PKNOX2 PEG3 LMO3 HAND2 NDN MYOCD NR3C2 RUNX1T1 ; 
ST6GALNAC3 ; SOX17 NOTCH4 BCL6B MEF2C MEOX2 KLF2 APBB1 TCF21 FOXF1 AFF3 DACH1 EBF1 LDB2 FHL5 TBX5 NAP1L3 SMARCD3 LZTS1 SOX5 TCF4 EBF3 ZDHHC15 ZNF423 RUNX1T1 ; 
ST6GALNAC5 ; AEBP1 CSDC2 PRRX1 ; 
FAM73A ; RBL2 SHPRH GTF2A1 NCOA2 REST ASH1L ZKSCAN1 MKL2 APC ; 
NEXN ; PTRF TGFB1I1 MITF FOXF1 ; 
PTGFR ; GATA6 MEF2C MEOX2 PRDM6 FOXF1 AFF3 EBF1 GLI2 ZFPM2 FHL5 LMO3 HAND2 SOX5 MYOCD RUNX1T1 ; 
IFI44L ; SP100 SP110 IRF9 ZNFX1 STAT1 TRIM22 STAT2 ; 
IFI44 ; SP100 SP110 IRF9 EIF2AK2 ZNFX1 STAT1 TRIM22 STAT2 ; 
