gene ; activator ; inhibitor
COL16A1 ; TGFB1I1 ZNF469 MEIS3 GLIS1 PTRF TWIST2 CREB3L1 GLI2 VENTX HIC1 MSC GATA6 AEBP1 PRRX2 ZFPM2 NAP1L3 HAND2 GLIS2 TSHZ3 MITF RUNX1T1 CSDC2 PRRX1 TWIST1 TRPS1 ; 
FAM167B ; SOX17 HEYL LDB2 HEY2 BCL6B FLI1 ERG NOTCH4 ; 
LCK ; SPI1 IRF1 TBX21 IRF4 SLA2 STAT4 CIITA MNDA RUNX3 IRF8 EOMES FOXP3 ; 
TSSK3 ; ZNF169 ; 
SYNC ;  ; GTF3C4 ZNF689
TMEM54 ; NR2F6 SPOCD1 TRIM31 ; 
ADC ; AEBP1 ; 
CSMD2 ; TGFB1I1 ZNF469 GLIS1 PTRF TWIST2 GLI2 ETV1 HIC1 MSC AEBP1 PRRX2 ZFPM2 HAND2 GLIS2 RUNX1T1 CSDC2 PRRX1 TWIST1 TRPS1 ; 
GJB5 ; TBX6 ; PGBD1 PHF17 MYEF2
GJB4 ; SMAD3 ; 
GJA4 ; SNAI1 SOX17 HEYL FHL5 PTRF EBF1 LDB2 BCL6B KLF2 MEF2C HIC1 TCF21 EBF3 MSC FLI1 FOXF1 AEBP1 PRRX2 LZTS1 ERG NOTCH4 CSDC2 PRRX1 TWIST1 ; 
ZMYM1 ; NFXL1 ZNF431 ZNF236 POLR1B BTAF1 ZBTB26 NR2C2 ADNP SHPRH CRAMP1L ZNF518A ZNF234 ZNF587 ZNF623 ZKSCAN1 ZSCAN23 ZNF169 ASH1L ; 
CLSPN ; MCM2 FOXM1 ESPL1 ZNF367 BRCA1 DEK EZH2 SUV39H2 MCM6 MCM8 KNTC1 TIMELESS DNMT1 BRCA2 WDHD1 BARD1 BRIP1 RBL1 MCM4 WHSC1 ; 
COL8A2 ; ZNF469 MEIS3 GLIS1 PTRF TWIST2 CREB3L1 GLI2 ETV1 HIC1 MSC AEBP1 PRRX2 ZFPM2 NAP1L3 HAND2 GLIS2 TSHZ3 MITF CSDC2 PRRX1 TWIST1 TRPS1 ; 
CSF3R ; HCLS1 ; 
ZC3H12A ; NFKBIA NFKBIZ ; 
C1orf109 ; ZNF623 ; 
CDCA8 ; RAD51 MYBL2 ZNF695 PTTG1 MCM7 E2F2 E2F1 TRIP13 MCM2 FOXM1 ESPL1 MCM5 HMGB2 CHAF1A ZNF367 BRCA1 EZH2 SUV39H2 MCM6 KNTC1 TIMELESS DNMT1 BRCA2 WDHD1 BRIP1 MCM4 WHSC1 ; 
FHL3 ; TGFB1I1 PTRF ; 
RRAGC ; TAF13 GTF2H3 ZNF281 GTF3C4 REST MCM4 AFF4 ELK3 NCOA2 ATF2 GTF2A1 ETV3 ATF7IP NFATC2 ZNF641 ; ZNF444 POLR2I PPAN MXD3 ANKS3 GLI4
NDUFS5 ; TCEB2 POLR2I PPAN NME2 ; NCOA2 ZNF641
KIAA0754 ; TAF1L ZNF281 REST ADNP SHPRH NCOA2 CLOCK ZNF366 GTF2A1 ETV3 ZNF623 APC ASH1L ZNF641 ; 
BMP8A ; ZNF469 MSC AEBP1 GLIS2 CSDC2 PRRX1 ; 
SMAP2 ; TBX21 SLA2 MEOX1 FLI1 MNDA RUNX3 IRF8 FOXP3 ; 
RIMS3 ; HDAC4 ; 
LEPRE1 ; PTRF AEBP1 PRRX2 ZFPM2 GLIS2 CSDC2 PRRX1 TWIST1 ; 
TIE1 ; SNAI1 TGFB1I1 SOX17 HEYL TAL1 FHL5 PTRF TWIST2 EBF1 LDB2 BCL6B KLF2 MEF2C HIC1 EBF3 MSC GATA6 LEF1 FLI1 MEOX2 KLF9 FOXF1 AEBP1 PRRX2 LZTS1 TCF4 ERG ZFPM2 HAND2 NOTCH4 CSDC2 PRRX1 TWIST1 ; 
CDC20 ; RAD51 HMGN2 MYBL2 ZNF695 PTTG1 MCM7 E2F2 E2F1 TRIP13 FOXM1 ESPL1 MCM5 HMGB2 CHAF1A BRCA1 EZH2 MCM6 TIMELESS WHSC1 ; 
KIF2C ; RAD51 HMGN2 MYBL2 ZNF695 PTTG1 MCM7 E2F2 E2F1 TRIP13 MCM2 FOXM1 ESPL1 MCM5 HMGB2 CHAF1A ZNF367 BRCA1 EZH2 SUV39H2 MCM6 TIMELESS DNMT1 WDHD1 BRIP1 MCM4 WHSC1 ; 
PLK3 ; FOSL1 ; 
IPP ; GTF2I GTF2H3 ELF1 GTF3C4 REST SHPRH AFF4 MKL2 CLOCK ATF2 GTF2A1 ETV3 ZNF397 APC ASH1L ZNF641 ; DRAP1
RAD54L ; RAD51 MYBL2 ZNF695 PTTG1 MCM7 E2F1 XRCC3 TRIP13 FOXM1 ESPL1 MCM5 HMGB2 CHAF1A ZNF367 BRCA1 EZH2 MCM6 TIMELESS WDHD1 WHSC1 ; 
STIL ; RAD51 E2F2 E2F1 TRIP13 FOXM1 ESPL1 MCM5 CHAF1A ZNF367 BRCA1 EZH2 SUV39H2 MCM6 MCM8 KNTC1 TIMELESS DNMT1 BRCA2 WDHD1 BRIP1 MCM4 WHSC1 ; 
SPATA6 ; MKL2 ZNF397 ASH1L ; 
CDKN2C ; HMGN2 ; 
TTC39A ;  ; IRX3
ZCCHC11 ; ZNF236 BTAF1 EP300 NR2C2 SHPRH TAF1 ATF2 EPC1 ZNF623 ZKSCAN1 APC ASH1L ZNF641 ; 
FAM159A ; PRRX1 ; 
ECHDC2 ; ANKS3 ; 
PODN ; TGFB1I1 ZNF469 GLIS1 PTRF TWIST2 EBF1 CREB3L1 GLI2 ETV1 KLF2 MEF2C HIC1 PGR TCF21 MSC GATA6 LEF1 GLI1 FOXF1 AEBP1 PRRX2 ZFPM2 NAP1L3 HAND2 GLIS2 TSHZ3 RUNX1T1 CSDC2 PRRX1 TWIST1 TRPS1 ; 
TTC22 ; KLF3 ; 
PPAP2B ; LDB2 FLI1 ERG ZNF366 ; 
TACSTD2 ; TOB1 ; 
MYSM1 ; ZNF292 BDP1 BTAF1 EP300 NR2C2 ZNF121 SHPRH ZNF507 AFF4 ZDHHC21 ZNF41 ZBTB43 ELK4 GTF2A1 REL ETV3 ZNF81 ZNF397 ZNF587 ZNF623 ZKSCAN1 ZSCAN23 ASH1L ZNF641 ; 
HOOK1 ; TTF2 ZNF292 ZNF131 BRIP1 ZNF92 ZNF518A ; NFATC1
KANK4 ; AEBP1 PRRX2 ; 
USP1 ; HMGN2 MCM2 FOXM1 E2F7 ZNF367 DEK EZH2 TFDP1 MCM6 KNTC1 TIMELESS DNMT1 WDHD1 BARD1 BRIP1 RBL1 MCM4 WHSC1 ; 
DOCK7 ; GTF3C4 ; 
ROR1 ; KLF9 RUNX1T1 ; 
LEPROT ; GTF2I GTF2H3 ZNF281 ASCC3 ZNF689 REST JMJD1C AFF4 ELK3 NCOA2 CLOCK ATF2 ETV3 ATF7IP ASH1L ; ZNF444 POLR2I PPAN MXD3 ANKS3
PDE4B ; SPI1 PTRF IRF4 TWIST2 EBF1 BIN1 LDB2 CREB5 AFF3 KLF2 MEF2C HIC1 NR4A3 TCF7L1 MEOX1 MSC GATA6 LEF1 FLI1 MNDA RUNX3 IRF8 MEOX2 TFEC KLF9 FOXF1 AEBP1 TCF4 ERG EGR2 HAND2 GLIS2 TSHZ3 MITF EGR3 TOX FOXP3 CSDC2 PRRX1 TWIST1 TRPS1 ; 
