gene ; activator ; inhibitor
CD52 ; LYL1 TBX21 SP140 SP110 IRF1 FAIM3 IRF8 GFI1 EOMES SLA2 FLI1 BIN1 SPI1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 FOXP3 TRIM22 HCLS1 ; 
ZNF683 ; TBX21 IRF1 SLA2 STAT4 CIITA MNDA STAT1 ; 
SFN ; HES2 ; 
TRNP1 ; TBX2 ; 
SYTL1 ; HDAC10 TBX6 ; DNMT1
WASF2 ; MTF1 ; 
FGR ; SPI1 MNDA ; 
IFI6 ; IRF9 SP110 STAT1 ; 
PTAFR ; MNDA ; 
EPB41 ; POGK ZFP62 ZNF436 ARID1A ZNF443 ; PTRF
LAPTM5 ; LYL1 PTRF TBX21 VENTX IRF8 SLA2 FLI1 SPI1 AEBP1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 FOXP3 TRIM22 HCLS1 ; ZNF443
SERINC2 ; HES1 ; 
COL16A1 ; PTRF HIC1 PDLIM4 ZNF469 AEBP1 PRRX1 BACH2 TWIST1 CSDC2 ; 
FAM167B ; NOTCH4 BCL6B MEF2C LDB2 SOX17 TCF21 ; GTF2H3
LCK ; TBX21 SP140 SP110 IRF1 IRF8 GFI1 EOMES SLA2 BIN1 SPI1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 FOXP3 TRIM22 ; 
TSSK3 ; ZNF169 ; 
SYNC ;  ; GTF2I ZNF689 REST NCOA2 ETV3 GTF2A1
KIAA1522 ; NR2F6 RXRA ZBTB7B ZNF440 ; BIN1
TMEM54 ; HES1 NR2F6 ; 
CSMD2 ; TGFB1I1 PTRF HIC1 GLIS1 ETV1 HAND2 ZNF469 AEBP1 TSHZ3 ZFPM2 PRRX1 PRRX2 TWIST1 NAP1L3 CSDC2 ; 
GJB5 ; TRIM29 TFAP2A MXD1 HES2 SOX15 ; PHF17
GJB3 ; TFAP2A MXD1 HES2 SOX15 ; PHF17 SALL2
GJA4 ; HEYL EBF1 NOTCH4 BCL6B MEF2C LDB2 SOX17 ERG EBF3 ; 
CLSPN ; TRIP13 FOXM1 TCF19 ARNTL2 BRCA1 MCM6 MCM2 ZNF367 TIMELESS MCM4 DEK MCM8 WDHD1 EZH2 WHSC1 RBL1 BRIP1 GTF2H3 ANKRD32 E2F7 TFDP1 BRCA2 BARD1 DNMT1 ; HDAC10
COL8A2 ; PTRF MSC HIC1 VENTX GLIS1 GLI2 ZNF469 GLIS2 AEBP1 TSHZ3 ZFPM2 PRRX1 PRRX2 EGR2 BACH2 TWIST1 CSDC2 ; 
CSF3R ; TFEC MNDA HCLS1 ; 
ZC3H12A ; NFKBIZ NFKBIA ; 
CDCA8 ; RAD51 MYBL2 PTTG1 TRIP13 FOXM1 TCF19 MCM5 MCM7 BRCA1 ESPL1 MCM6 MCM2 ZNF367 HMGB2 CHAF1A TIMELESS MCM4 WDHD1 EZH2 KNTC1 WHSC1 TAF5 BRCA2 DNMT1 ; 
FHL3 ; TGFB1I1 PTRF AEBP1 ; 
RRAGC ; TAF13 ATF6 ARNTL2 KLF7 MCM4 ASCC3 GTF3C4 ELK3 RBL1 EIF2AK2 GTF2H3 NOTCH2 NFIC BACH1 BRCA2 MTF1 ATF7IP EYA3 CLOCK GTF2A1 ; TAF10 ANKS3 ZNF688 GLI4 AES ZNF444 HDAC10 ZNF32
MACF1 ; ELK3 NOTCH2 MLXIP ; 
KIAA0754 ; AFF4 REST EP300 NCOA2 ETV3 GTF2A1 ; 
BMP8A ; ZNF469 AEBP1 PRRX1 ; 
SMAP2 ; TBX21 FAIM3 IRF8 SLA2 FLI1 SPI1 STAT4 RUNX3 TFEC MNDA IRF4 MAFB FOXP3 ; 
ZNF684 ; ZNF92 ZNF273 ZNF443 ; 
LEPRE1 ; TGFB1I1 PTRF HIC1 AEBP1 TCF7L1 LZTS1 PRRX1 PRRX2 TWIST1 CSDC2 ; ZNF440
TMEM125 ; NR2F6 ZSCAN16 ; SNAI2
C1orf210 ; ELF3 NR2F6 ; 
TIE1 ; HEYL HIC1 EBF1 NOTCH4 FLI1 TAL1 BCL6B MEF2C LDB2 SOX17 ERG HEY2 LZTS1 EBF3 TCF4 ; 
CDC20 ; MYBL2 PTTG1 TRIP13 FOXM1 MCM5 MCM7 MCM2 HMGB2 ENO1 TEAD4 ; 
PTPRF ; ZNF440 ; 
KIF2C ; RAD51 E2F1 MYBL2 PTTG1 TRIP13 FOXM1 RUVBL1 TCF19 MCM5 HMGN2 MCM7 BRCA1 PHF19 ESPL1 MCM6 MCM2 ZNF367 HMGB2 CHAF1A TIMELESS MCM4 WDHD1 EZH2 WHSC1 TAF5 ANKRD32 BRCA2 DNMT1 ; 
PLK3 ; FOSL1 ; 
RPS8 ; ZNF581 ; 
NASP ; HMGB2 EZH2 ; 
IPP ; GTF3C4 GTF2H3 GTF2I SHPRH AFF4 REST CLOCK NCOA2 MKL2 ETV3 GTF2A1 APC ASH1L ; 
RAD54L ; RAD51 E2F1 MYBL2 PTTG1 FOXM1 TCF19 MCM5 MCM7 E2F2 BRCA1 ESPL1 MCM6 MCM2 ZNF367 HMGB2 CHAF1A TIMELESS MCM4 WDHD1 EZH2 KNTC1 TAF5 ANKRD32 DNMT1 ; 
FAAH ; NR2F6 TBX6 ; WWTR1
CYP4B1 ; ZNF440 ; 
STIL ; FOXM1 TCF19 BRCA1 ESPL1 MCM6 MCM2 TIMELESS MCM4 DEK MCM8 WDHD1 EZH2 KNTC1 WHSC1 RBL1 BRIP1 TAF5 ANKRD32 BRCA2 BARD1 DNMT1 ; 
SPATA6 ; ZDHHC21 ; 
BEND5 ; ZSCAN16 ZNF253 ; 
CDKN2C ; HMGN2 ; 
ZFYVE9 ; ARID1A ; 
ZCCHC11 ; BDP1 EPC1 ATF2 TCF12 PHF6 SHPRH ZNF236 ZNF430 REST RBBP4 ZNF420 ADNP ZNF623 NR2C2 EP300 NCOA2 TAF1 ZNF121 ZNF81 MKL2 BRWD1 GTF2A1 CRAMP1L ZKSCAN1 APC ASH1L ; 
ECHDC2 ; HDAC10 ; 
PODN ; MSC HIC1 CREB3L1 GLI2 ETV1 HAND2 AEBP1 MEIS3 TBX5 ZFPM2 PRRX1 PRRX2 NAP1L3 TCF21 CSDC2 ; 
TACSTD2 ; OVOL1 ELF3 GRHL1 HES1 RARG GRHL3 TEAD3 TOB1 KLF3 ZNF440 ; POLR1E BIN1 PGBD1
MYSM1 ; BDP1 NFXL1 KLF3 BTAF1 RBL2 SHPRH ZNF236 AFF4 REST ADNP ZBTB39 ZNF587 NR2C2 ZNF292 EP300 ZDHHC21 ELK4 ZNF397 NCOA2 TAF1 REL ZNF121 ZNF81 ZNF41 BRWD1 ETV3 GTF2A1 CRAMP1L ARID1A ZNF224 ZKSCAN1 APC ZNF518A ASH1L ; 
HOOK1 ; KLF5 GRHL3 CASZ1 POGK ERCC6 CHD7 NFXL1 ZNF77 ZNF431 SOX4 SHPRH ADNP ZNF587 EP300 ZDHHC21 BAZ2B ZNF397 PHF8 ZNF81 MKL2 BRWD1 ZNF567 ARID1A ZNF627 ZKSCAN1 ZNF443 ; LYL1 TGFB1I1 PTRF HIC1 EBF1 MEF2C MNDA NFATC1 DAB2 HCLS1 FLI1 BIN1
CYP2J2 ; ZNF440 ; 
INADL ; KLF3 ; 
KANK4 ; ZNF469 AEBP1 PRRX1 ; 
USP1 ; FOXM1 MCM6 MCM2 ZNF367 TIMELESS MCM4 DEK MCM8 WDHD1 EZH2 WHSC1 RBL1 BRIP1 E2F7 TFDP1 BARD1 DNMT1 ; HDAC10 TBX2
LEPROT ; TAF13 CTNNB1 ASCC3 ELK3 GTF2H3 ATF7IP ZNF689 EYA3 ATF2 REST CLOCK NCOA2 ETV3 ZNF641 GTF2A1 ; EDF1 ZNF205 POLR2I ANKS3
PDE4B ; PTRF MSC VENTX TWIST2 IRF8 SLA2 FLI1 SPI1 ZNF469 AEBP1 STAT4 RUNX3 TFEC MNDA IRF4 CREB5 PRRX1 EGR2 FOXP3 TWIST1 ; 
SGIP1 ; MSC TWIST2 ZNF469 AEBP1 TSHZ3 ZFPM2 PRRX1 TWIST1 CSDC2 ; 
TCTEX1D1 ; ZNF469 AEBP1 PRRX1 TWIST1 ; 
GNG12 ; NFKB1 ; 
DEPDC1 ; MYBL2 PTTG1 TRIP13 FOXM1 BRCA1 ESPL1 MCM6 MCM2 HMGB2 TIMELESS MCM4 DEK WDHD1 EZH2 KNTC1 WHSC1 RBL1 BRIP1 ANKRD32 BRCA2 DNMT1 ; 
PTGER3 ; PRRX1 BACH2 NAP1L3 CSDC2 ; 
NEGR1 ; MSC HIC1 GLI2 HAND2 ZNF469 AEBP1 ZFPM2 PRRX1 TWIST1 NAP1L3 CSDC2 ; 
ST6GALNAC3 ; NOTCH4 TAL1 BCL6B MEF2C LDB2 SOX17 ERG ; 
ST6GALNAC5 ; AEBP1 ZFPM2 PRRX1 CSDC2 ; 
FAM73A ; SHPRH AFF4 REST NCOA2 ETV3 GTF2A1 ASH1L ; 
NEXN ; TGFB1I1 PTRF MSC HIC1 VENTX IRF8 FLI1 SPI1 HAND2 ZNF469 AEBP1 TFEC MNDA TSHZ3 ZFPM2 PRRX1 TWIST1 CSDC2 ; 
DNAJB4 ;  ; NR2F6
PTGFR ; MSC PRRX1 CSDC2 ; 
IFI44L ; IRF9 SP110 IRF1 ZNFX1 STAT1 TRIM22 ; 
IFI44 ; IRF9 SP110 ZNFX1 STAT1 TRIM22 ; 
ELTD1 ; HEYL EBF1 NOTCH4 TAL1 FHL5 BCL6B MEF2C LDB2 SOX17 ERG HEY2 LZTS1 EBF3 ; 
SSX2IP ; WDHD1 ; 
MCOLN2 ; TBX21 EOMES SLA2 STAT4 CIITA RUNX3 TFEC MNDA FOXP3 ; 
CYR61 ; PTRF MSC VENTX TWIST2 SPI1 EGR1 AEBP1 PRRX1 EGR2 TWIST1 CSDC2 ; 
CLCA2 ; BARX2 HES2 ; 
PKN2 ; ZNF430 ZNF217 ZNF292 EP300 ZDHHC21 ELK4 NCOA2 REL ETV3 ARID1A ASH1L ; 
GBP1 ; NMI TBX21 SP140 SP110 IRF1 SLA2 CIITA TFEC MNDA STAT1 FOXP3 TRIM22 ; 
GBP4 ; ETV7 TBX21 IRF1 SLA2 CIITA STAT1 FOXP3 TRIM22 ; 
GBP5 ; TBX21 SP140 SP110 IRF1 IRF8 GFI1 EOMES SLA2 SPI1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 FOXP3 TRIM22 ; 
CDC7 ; MCM6 MCM2 ZNF367 HMGB2 TIMELESS WDHD1 EZH2 KNTC1 WHSC1 TAF5 DNMT1 ; 
KIAA1107 ; ZNF223 ZFP62 ZNF587 ZNF292 ZDHHC21 BAZ2B ZNF397 PHF8 ZNF91 AFF1 ZNF253 BRWD1 ZNF248 ZNF224 ZKSCAN1 ZNF518A ZNF441 ZNF33A ZNF443 ; PTRF TEAD4
FNBP1L ; ZSCAN2 ZSCAN16 TOP2B ZFP62 ZNF587 ZNF436 ZNF91 AFF1 ZNF253 ZNF627 ZNF443 ; PDLIM4
ABCD3 ; ZNF443 ; 
SLC44A3 ; NR2F6 PCBD1 ZNF443 ; TEAD4 BIN1 HMGA2
DPYD ; NR3C1 STAT4 STAT1 TRIM22 ; ZNF443
AGL ; MKL2 ZKSCAN1 ; 
SLC35A3 ; CLOCK NCOA2 GTF2A1 ; 
SASS6 ; KNTC1 WHSC1 ANKRD32 BRCA2 ; 
VCAM1 ; MSC HIC1 VENTX TWIST2 IRF8 FLI1 SPI1 ZNF469 MEF2C AEBP1 TFEC MNDA IRF4 TSHZ3 ZFPM2 CREB5 NFATC1 DAB2 PRRX1 TCF4 EGR2 TWIST1 NAP1L3 CSDC2 ; 
S1PR1 ; HEYL EBF1 NOTCH4 KLF2 TAL1 FHL5 BCL6B MEF2C LDB2 SOX17 ERG EBF3 ; 
COL11A1 ; ZNF469 AEBP1 PRRX1 ; 
GPSM2 ; WDHD1 DNMT1 ; 
CELSR2 ; HR BARX2 HES2 ; 
PSRC1 ; PTTG1 HMGB2 ; 
SYPL2 ; CSDC2 ; 
CYB561D1 ; JRK CRAMP1L ; 
GSTM5 ; TCF21 CSDC2 ; 
CSF1 ; VENTX IRF1 IRF8 FLI1 SPI1 STAT4 HIVEP3 RUNX3 TFEC MNDA STAT1 CREB5 MAFB FOXP3 ; 
KCNA3 ; TBX21 SP140 IRF8 EOMES SLA2 FLI1 SPI1 RUNX3 TFEC MNDA IRF4 NFATC1 FOXP3 ; 
CD53 ; TBX21 SP140 VENTX IRF1 IRF8 GFI1 EOMES SLA2 FLI1 BIN1 SPI1 AEBP1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 CREB5 PRRX1 EGR2 FOXP3 TWIST1 HCLS1 ; 
OVGP1 ; KLF15 ; 
C1orf162 ; LYL1 PTRF TBX21 SP140 VENTX IRF1 IRF8 SLA2 FLI1 BIN1 SPI1 AEBP1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 FOXP3 TWIST1 ; ZNF443
ADORA3 ; TBX21 VENTX IRF8 SLA2 SPI1 ZNF469 AEBP1 STAT4 RUNX3 TFEC MNDA STAT1 FOXP3 ; 
RHOC ;  ; ZNF273
SLC16A1 ; TEAD4 ; 
LRIG2 ; ZNF81 BRWD1 GTF2A1 ; 
MAGI3 ; ASH1L ; 
PTPN22 ; TBX21 SP140 VENTX IRF1 IRF8 GFI1 EOMES SLA2 SPI1 STAT4 CIITA RUNX3 TFEC MNDA IRF4 STAT1 FOXP3 TRIM22 ; 
DCLRE1B ; FOXM1 BRCA1 SUV39H2 MCM6 MCM2 MCM4 DEK MCM8 WDHD1 RBL1 BRIP1 DNMT1 ; 
OLFML3 ; TGFB1I1 PTRF MSC HIC1 VENTX TWIST2 IRF8 SPI1 ZNF469 GLIS2 AEBP1 MEIS3 MNDA TSHZ3 ZFPM2 PRRX1 TWIST1 NAP1L3 CSDC2 ; 
DENND2C ; ELK3 HES2 ; 
