gene ; activator ; inhibitor
IFI6 ; IRF9 SP110 STAT1 ; 
EPB41 ; ZNF436 ZNF627 RERE ; 
LAPTM5 ; LYL1 SPI1 SLA2 MNDA VENTX CIITA MSC IRF8 FLI1 STAT4 TBX21 RUNX3 TFEC AEBP1 FOXP3 IRF4 PRRX1 HCLS1 ; 
COL16A1 ; GLIS1 HIC1 MEIS3 PTRF TGFB1I1 GLI2 MSC ZNF469 TWIST1 AEBP1 BACH2 GLIS2 TWIST2 PRRX1 CSDC2 ; 
FAM167B ; SOX17 NOTCH4 BCL6B LDB2 KLF2 MEF2C ; 
LCK ; ZBTB32 LYL1 IRF1 SPI1 SLA2 MNDA SP140 EOMES CIITA IRF8 STAT4 TBX21 TOX STAT1 RUNX3 TFEC FOXP3 IRF4 ; 
TSSK3 ; ZNF333 ; 
SYNC ;  ; ZNF689 ETV3
KIAA1522 ; RXRA ZNF440 ; 
TMEM54 ; NR2F6 ; 
CSMD2 ; GLIS1 HIC1 ZNF469 ETV1 PRRX2 TWIST1 AEBP1 ZFPM2 NAP1L3 GLIS2 TWIST2 PRRX1 HAND2 CSDC2 ; 
GJB5 ; TFAP2A BARX2 HES2 SOX15 ; PHF17 MYEF2
GJB3 ; TFAP2A HES2 SOX15 ; TBX2 MYEF2
GJA4 ; EBF1 HEYL SOX17 NOTCH4 BCL6B FOXF1 LDB2 FHL5 KLF2 MEF2C ERG LZTS1 EBF3 ; 
CLSPN ; ARNTL2 MCM2 BRCA1 EZH2 DEK E2F7 MCM4 TIMELESS MCM8 WHSC1 WDHD1 TFDP1 ANKRD32 BARD1 BRCA2 DNMT1 BRIP1 RBL1 ; 
COL8A2 ; GLIS1 HIC1 VENTX PTRF TGFB1I1 GLI2 MSC ZNF469 ETV1 PRRX2 TWIST1 AEBP1 ZFPM2 NAP1L3 GLIS2 TWIST2 PRRX1 HAND2 CSDC2 ; 
ZC3H12A ; NFKBIA NFKBIZ ; 
CDCA8 ; MYBL2 TRIP13 ESPL1 PTTG1 MCM5 TCF19 HMGB2 MCM2 BRCA1 EZH2 MCM4 TIMELESS WHSC1 WDHD1 BRCA2 DNMT1 BRIP1 ; 
FHL3 ; PTRF TGFB1I1 ; 
RRAGC ; TAF13 KLF7 GTF3C4 GTF2H3 ASCC3 ELK3 NOTCH2 ATF7IP RBL1 CLOCK GTF2A1 ; TAF10 ZNF513 GLI4 ZNF688 ANKS3 ZNF444 AES ZNF32
MACF1 ; MLXIP ; 
KIAA0754 ; REST GTF2A1 ETV3 ; 
BMP8A ; ZNF469 AEBP1 PRRX1 ; 
SMAP2 ; LYL1 SPI1 MNDA IRF8 FLI1 STAT4 TBX21 RUNX3 TFEC KLF2 MEF2C FOXP3 IRF4 ; 
ZNF684 ; ZNF230 ZNF92 ZNF566 ZNF443 ; 
LEPRE1 ; PTRF TGFB1I1 MSC TWIST1 AEBP1 TWIST2 PRRX1 ; 
TMEM125 ; NR2F6 ; SNAI2
C1orf210 ; NR2F6 ; SNAI2
TIE1 ; EBF1 HIC1 HEYL TAL1 TGFB1I1 SOX17 NOTCH4 KLF9 FLI1 TCF4 BCL6B FOXF1 HEY2 LDB2 FHL5 KLF2 MEF2C AEBP1 ERG LEF1 LZTS1 ZFPM2 TCF21 NAP1L3 TWIST2 EBF3 PRRX1 HAND2 CSDC2 ; 
CDC20 ; MYBL2 TRIP13 PTTG1 MCM5 MCM2 ENO1 ; RERE
BTBD19 ; ZNF469 ; 
RPS8 ; EEF1A1 ; 
IPP ; GTF3C4 GTF2H3 GTF2I ATF2 AFF4 SHPRH CLOCK REST GTF2A1 MKL2 ETV3 APC ASH1L ; 
CYP4B1 ; TOB1 ; TEAD4
STIL ; E2F1 TRIP13 ESPL1 TCF19 MCM2 BRCA1 EZH2 DEK KNTC1 E2F7 MCM4 TIMELESS MCM8 WHSC1 WDHD1 ANKRD32 BARD1 BRCA2 DNMT1 BRIP1 RBL1 ; 
SPATA6 ; RERE ; 
BEND5 ; AES ZSCAN2 PCBD1 CXXC1 MAML3 ZSCAN16 TBX3 KLF15 EMX2 ZNF253 RERE ; TEAD4 FOXD1 HES2
TTC39A ; TOB1 ; 
ZCCHC11 ; BDP1 NR2C2 SHPRH ZNF236 ADNP ZNF430 TAF1 EP300 REST GTF2A1 ZKSCAN1 ETV3 APC ASH1L ; 
PODN ; HIC1 MEIS3 TGFB1I1 GLI2 MSC GLI1 FOXF1 ZNF469 ETV1 LDB2 PRRX2 MYOCD PRDM6 KLF2 TWIST1 AEBP1 LEF1 ZFPM2 TCF21 NAP1L3 GLIS2 TBX5 TWIST2 PRRX1 HAND2 NDN CSDC2 ; 
TTC22 ; RREB1 ; 
MYSM1 ; NFXL1 BDP1 NR2C2 ZBTB39 BTAF1 ZNF234 AFF4 ZNF292 SHPRH ADNP ELK4 TAF1 REL EP300 RBL2 ZNF224 ZNF121 ZNF507 ZNF81 ARID1A ZNF587 REST ARID4A GTF2A1 ZKSCAN1 MKL2 ETV3 ZNF518A APC ASH1L ; 
HOOK1 ; EHF NFXL1 ZDHHC21 RYBP ZFP62 TAF4 RBBP4 ZNF431 ZNF292 ADNP ELK4 ZNF121 ZNF81 ARID1A ZNF587 ZKSCAN1 ZNF92 ZNF518A ZNF443 ; LYL1 SPI1 BIN1 PDLIM4 PTRF TGFB1I1 MSX1 FLI1 MEF2C MSC
KANK4 ; PRRX1 ; 
USP1 ; MCM2 EZH2 DEK E2F7 MCM4 TIMELESS WHSC1 WDHD1 TFDP1 BARD1 DNMT1 BRIP1 RBL1 ; ZNF513 TBX2
JAK1 ; STAT3 ; 
LEPROT ; TAF13 ATF6 ZNF281 GTF3C4 CTNNB1 GTF2H3 ASCC3 ELK3 EYA3 ATF7IP ZNF689 ATF2 NCOA2 CLOCK REST ZNF641 GTF2A1 ETV3 ; EDF1 PPAN TAF10 MXD3 ANKS3
PDE4B ; SPI1 SLA2 SNAI1 MNDA VENTX NR4A3 MSC KLF9 IRF8 FLI1 STAT4 RUNX3 TFEC TNFAIP3 MEF2C TWIST1 AEBP1 EGR3 EGR2 CREB5 IRF4 TWIST2 PRRX1 CSDC2 ; 
SGIP1 ; GLIS1 HIC1 HEYL PTRF TGFB1I1 GLI2 MSC ZNF469 TSHZ3 ETV1 PRRX2 TWIST1 AEBP1 ZFPM2 GLIS2 TWIST2 PRRX1 CSDC2 ; 
TCTEX1D1 ; SNAI1 HIC1 PTRF MSC TWIST1 AEBP1 TWIST2 PRRX1 ; 
GNG12 ; STAT3 ; 
DIRAS3 ; TWIST2 ; 
DEPDC1 ; TRIP13 ESPL1 PTTG1 HMGB2 MCM2 BRCA1 EZH2 DEK MCM4 TIMELESS WHSC1 WDHD1 ANKRD32 BRCA2 DNMT1 BRIP1 ; 
PTGER3 ; ZNF469 TWIST1 AEBP1 ZFPM2 NAP1L3 TWIST2 PRRX1 CSDC2 ; 
NEGR1 ; GLIS1 EBF1 HIC1 VENTX PTRF TGFB1I1 GLI2 MSC FOXF1 MEOX2 ZNF469 TSHZ3 ETV1 MYOCD PRDM6 MEF2C TWIST1 AEBP1 ZFPM2 TCF21 NAP1L3 GLIS2 TBX5 TWIST2 PRRX1 HAND2 CSDC2 ; 
ST6GALNAC3 ; EBF1 HEYL TAL1 SOX17 NOTCH4 BCL6B FOXF1 LDB2 FHL5 KLF2 MEF2C ERG TCF21 EBF3 ; 
ST6GALNAC5 ; MEIS3 PTRF TGFB1I1 MSC ZNF469 ETV1 PRRX2 TWIST1 AEBP1 ZFPM2 NAP1L3 GLIS2 TWIST2 PRRX1 HAND2 CSDC2 ; 
FAM73A ; AFF4 SHPRH NCOA2 REST ARID4A GTF2A1 ETV3 APC ASH1L ; 
NEXN ; SPI1 HIC1 VENTX PTRF TGFB1I1 GLI2 MSC KLF9 IRF8 FLI1 ZNF469 TSHZ3 TFEC TWIST1 AEBP1 MITF ZFPM2 GLIS2 TWIST2 PRRX1 HAND2 TRPS1 CSDC2 ; 
PTGFR ; HIC1 GLI2 MKX AEBP1 ZFPM2 NAP1L3 TWIST2 PRRX1 HAND2 CSDC2 ; 
IFI44L ; SP100 IRF9 SP110 STAT2 TRIM22 STAT1 ; 
IFI44 ; SP100 IRF9 PML SP110 STAT2 TRIM22 STAT1 ; 
ELTD1 ; EBF1 HEYL TAL1 NR5A2 SOX17 NOTCH4 FLI1 TCF4 BCL6B FOXF1 HEY2 LDB2 FHL5 KLF2 MEF2C ERG LEF1 LZTS1 TCF21 EBF3 ; 
SSX2IP ; WDHD1 ; 
MCOLN2 ; IRF1 GFI1 SLA2 SP140 EOMES CIITA IRF8 STAT4 TBX21 RUNX3 TFEC FOXP3 IRF4 ; 
DDAH1 ;  ; HES2
