gene ; activator ; inhibitor
LAPTM5 ; LYL1 SLA2 CIITA VENTX MSC MNDA SPI1 STAT4 SP140 TBX21 FLI1 PTRF IRF8 TFEC RUNX3 AEBP1 IRF4 HCLS1 ; 
SERINC2 ; HES1 ; 
COL16A1 ; ZNF469 GLIS1 MSC HIC1 MEIS3 PTRF TWIST1 GLIS2 ZFPM2 TWIST2 AEBP1 CSDC2 PRRX1 ; 
FAM167B ; BCL6B NOTCH4 SOX17 KLF2 LDB2 TCF21 ; GTF2H3
LCK ; LYL1 IRF1 SLA2 CIITA MNDA SPI1 EOMES STAT4 POU2AF1 SP140 TBX21 IRF8 TFEC RUNX3 STAT1 FOXP3 IRF4 ; 
TSSK3 ; ZNF169 ; 
SYNC ;  ; ZNF689 CLOCK GTF2A1 ETV3
KIAA1522 ; RXRA ZNF440 ; 
TMEM54 ; TBX6 ; 
RNF19B ; STAT1 ; 
ADC ; AEBP1 PRRX1 ; 
CSMD2 ; ZNF469 HIC1 MEIS3 TGFB1I1 PRRX2 ETV1 GLIS2 ZFPM2 AEBP1 CSDC2 PRRX1 ; 
GJB5 ; TRIM29 TFAP2A ETS2 HES2 SOX15 ; PHF17 MYEF2
GJB3 ; TFAP2A SNAI2 HES2 SOX15 ; PHF17 MYEF2
GJA4 ; BCL6B EBF1 HEYL NOTCH4 SOX17 MEF2C HIC1 FHL5 KLF2 LDB2 ERG HAND2 AEBP1 TCF21 EBF3 CSDC2 ; 
ZMYM1 ; BDP1 NR2C2 BTAF1 ZNF236 SHPRH ZNF623 GTF2A1 ZKSCAN1 ; 
CLSPN ; FOXM1 ESPL1 BRCA1 ARNTL2 SUV39H2 MCM2 ZNF367 TIMELESS MCM4 DEK MCM8 EZH2 GTF2H3 WDHD1 E2F7 BARD1 ANKRD32 WHSC1 BRIP1 BRCA2 RBL1 DNMT1 ; 
COL8A2 ; ZNF469 GLIS1 GLI2 MSC HIC1 MEIS3 TGFB1I1 TWIST1 PRRX2 ETV1 GLIS2 ZFPM2 TSHZ3 HAND2 TWIST2 AEBP1 CSDC2 PRRX1 NAP1L3 ; 
MAP7D1 ; PTRF ; 
CSF3R ; MNDA ; 
ZC3H12A ; NFKBIA NFKBIZ ; 
CDCA8 ; MYBL2 RAD51 E2F1 TRIP13 FOXM1 PTTG1 ESPL1 TCF19 MCM5 BRCA1 MCM7 MCM6 HMGB2 CHAF1A MCM2 ZNF367 TIMELESS MCM4 EZH2 WDHD1 KNTC1 WHSC1 BRIP1 DNMT1 ; 
FHL3 ; PDLIM4 TGFB1I1 PTRF AEBP1 PRRX1 ; 
RRAGC ; TAF13 ARNTL2 KLF7 ZNF281 GTF2H3 ASCC3 ELK3 NOTCH2 GTF3C4 BRCA2 BACH1 RBL1 ATF7IP CLOCK GTF2A1 ZNF641 ; SCAND1 ZNF580 ANKS3 ZNF688 ZNF446 GLI4 ZNF444
NDUFS5 ; TCEB2 ; 
KIAA0754 ; REST NCOA2 GTF2A1 ETV3 ; 
BMP8A ; ZNF469 AEBP1 ; 
SMAP2 ; LYL1 FAIM3 SLA2 MNDA SPI1 MEF2C MEOX1 TBX21 FLI1 IRF8 TFEC RUNX3 KLF2 FOXP3 TSHZ3 IRF4 ; 
ZNF684 ; ZNF230 ZNF92 ZNF84 ZNF443 ; 
LEPRE1 ; HEYL GLIS1 HIC1 TGFB1I1 PTRF CREB3L1 TWIST1 PRRX2 ZFPM2 TWIST2 LZTS1 AEBP1 CSDC2 TCF7L1 PRRX1 ; ZDHHC21
TMEM125 ;  ; SNAI2
C1orf210 ; ELF3 ; 
TIE1 ; TAL1 BCL6B EBF1 HEYL NOTCH4 SOX17 FOXF1 MEF2C HIC1 MEOX2 TGFB1I1 FLI1 FHL5 KLF2 LDB2 TCF4 ERG HAND2 TWIST2 LZTS1 AEBP1 TCF21 EBF3 CSDC2 PRRX1 NAP1L3 ; 
CDC20 ; TRIP13 FOXM1 PTTG1 MCM5 MCM7 MCM2 ; 
KIF2C ; MYBL2 RAD51 E2F1 TRIP13 RUVBL1 FOXM1 PTTG1 HMGN2 ESPL1 TCF19 MCM5 BRCA1 MCM7 MCM6 HMGB2 CHAF1A MCM2 ZNF367 TIMELESS MCM4 EZH2 WDHD1 WHSC1 BRIP1 DNMT1 ; 
BTBD19 ; AEBP1 ; 
RPS8 ; ZNF581 EEF1A1 ; 
IPP ; GTF3C4 GTF2I VHL ATF2 REST SHPRH ADNP CLOCK GTF2A1 ETV3 MKL2 ZNF641 ; 
RAD54L ; MYBL2 RAD51 E2F1 FOXM1 PTTG1 ESPL1 TCF19 MCM5 BRCA1 XRCC3 MCM7 HMGB2 CHAF1A MCM2 ZNF367 TIMELESS EZH2 WDHD1 KNTC1 WHSC1 DNMT1 ; 
STIL ; FOXM1 ESPL1 TCF19 BRCA1 MCM7 HMGB2 CHAF1A MCM2 ZNF367 TIMELESS MCM4 DEK MCM8 EZH2 WDHD1 KNTC1 E2F7 ANKRD32 WHSC1 BRIP1 BRCA2 RBL1 DNMT1 ; 
SPATA6 ; TBX3 ; 
